subject,predicate,object
Software development management,RT,Software product lines
Software development management,NT,Agile software development
Software development management,NT,Model-driven development
Software documentation,USE,Documentation
Software engineering,BT,Computers and information processing
Software engineering,RT,Code refractoring
Software engineering,RT,Functional point analysis
Software engineering,RT,Rapid prototyping
Software engineering,RT,Requirements engineering
Software engineering,RT,Service-oriented systems engineering
Software engineering,RT,Software
Software engineering,RT,Static analysis
Software engineering,RT,Systems Modeling Language
Software engineering,RT,Visual BASIC
Software engineering,NT,Capability maturity model
Software engineering,NT,Computer aided software engineering
Software engineering,NT,Formal verification
Software engineering,NT,Programming environments
Software engineering,NT,Release engineering
Software engineering,NT,Runtime
Software engineering,NT,Software architecture
Software engineering,NT,Software libraries
Software engineering,NT,Software product lines
Software libraries,BT,Libraries
Software libraries,BT,Software engineering
Software libraries,RT,Algorithms
Software libraries,RT,Matlab
Software libraries,RT,Object oriented programming
Software libraries,RT,Python
Software libraries,RT,Software reusability
Software maintenance,BT,Software
Software maintenance,RT,Software product lines
Software measurement,BT,Measurement
Software packages,BT,Software
Software packages,RT,Computer applications
Software packages,RT,Power system analysis computing
Software packages,NT,EMTDC
Software packages,NT,PSCAD
Software packages,NT,SPICE
Software performance,BT,Software
Software performance,RT,Algorithmic efficiency
Software performance,RT,Capability maturity model
Software piracy,USE,Computer crime
Software product lines,BT,Product development
Software product lines,BT,Software engineering
Software product lines,RT,Software development management
Software product lines,RT,Software maintenance
Software protection,BT,Copyright protection
Software protection,BT,Legal factors
Software protection,RT,Digital rights management
Software protection,RT,Intellectual property
Software protection,RT,Software
Software prototyping,BT,System analysis and design
Software quality,BT,Software
Software quality,RT,Algorithmic efficiency
Software radio,UF,Reconfigurable radio
Software radio,UF,Software defined radio
Software radio,UF,Software-defined radio
Software radio,BT,Mobile communication
Software radio,BT,Radio communication
Software radio,RT,Cellular radio
Software radio,RT,Code division multiplexing
Software radio,RT,Land mobile radio
Software radio,RT,Telecommunication computing
Software radio,RT,Transceivers
Software reliability,BT,Reliability
Software reusability,UF,Software reuse
Software reusability,BT,Software
Software reusability,RT,Capability maturity model
Software reusability,RT,Object oriented programming
Software reusability,RT,Software libraries
Software reuse,USE,Software reusability
Software reviews,BT,IEEE indexing
Software safety,BT,Software
Software safety,RT,Product safety engineering
Software sensors,USE,Soft sensors
Software standards,BT,Standards categories
Software standards,RT,ISO
Software standards,RT,ISO Standards
Software standards,RT,Software
Software systems,BT,Software
Software testing,BT,Testing
Software testing,NT,Combinatorial testing
Software testing,NT,Fuzzing
Software tools,BT,Software
Software tools,RT,Computer aided software engineering
Software tools,RT,Programming
Software tools,RT,Programming environments
Software tools,RT,Visual BASIC
Software tools,NT,Authoring systems
Software-as-a-service,USE,Software as a service
Software-defined networking,USE,Software defined networking
Software-defined radio,USE,Software radio
SOI,USE,Silicon-on-insulator
Soil,BT,Geoscience
Soil,RT,Earth
Soil,RT,Excavation
Soil,RT,Sediments
Soil,RT,Seeds (agriculture)
Soil,RT,Soil measurements
Soil,RT,Soil pollution
Soil,NT,Soil moisture
Soil,NT,Soil properties
Soil,NT,Soil texture
Soil measurements,BT,Measurement
Soil measurements,RT,Geophysical measurements
Soil measurements,RT,Moisture measurement
Soil measurements,RT,Remote sensing
Soil measurements,RT,Soil
Soil measurements,NT,Salinity (geophysical)
Soil moisture,BT,Soil
Soil moisture,NT,SMAP mission
Soil moisture,NT,SMOS mission
Soil Moisture Active Passive mission,USE,SMAP mission
Soil moisture and ocean salinity,USE,SMOS mission
Soil moisture and ocean salinity mission,USE,SMOS mission
Soil pollution,BT,Land pollution
Soil pollution,RT,Agriculture
Soil pollution,RT,Soil
Soil properties,BT,Soil
Soil texture,BT,Soil
Solar cells,USE,Photovoltaic cells
Solar cooling,BT,Cooling
Solar eclipses,BT,Sun
Solar energy,BT,Energy resources
Solar energy,RT,Maximum power point trackers
Solar energy,RT,Solar heating
Solar energy,RT,Solar power generation
Solar energy,RT,Solar radiation
Solar generation,USE,Solar power generation
Solar heating,BT,Energy conversion
Solar heating,BT,Heating systems
Solar heating,RT,Phase change materials
Solar heating,RT,Solar energy
Solar heating,RT,Space heating
Solar panels,BT,Photovoltaic systems
Solar panels,BT,Solar power generation
Solar polarimetry,USE,Polarimetry
Solar power generation,UF,Solar generation
Solar power generation,BT,Power generation
Solar power generation,RT,Building integrated photovoltaics
Solar power generation,RT,Solar energy
Solar power generation,RT,Solar powered vehicles
Solar power generation,NT,Maximum power point trackers
Solar power generation,NT,Photovoltaic systems
Solar power generation,NT,Solar panels
Solar powered vehicles,BT,Electric vehicles
Solar powered vehicles,RT,Battery powered vehicles
Solar powered vehicles,RT,Energy storage
Solar powered vehicles,RT,Solar power generation
Solar powered vehicles,RT,Traction motors
Solar powered vehicles,RT,Vehicle-to-grid
Solar radiation,BT,Extraterrestrial phenomena
Solar radiation,RT,Solar energy
Solar radiation,RT,Space radiation
Solar system,BT,Astronomy
Solar system,NT,Kuiper belt
Solar system,NT,Planets
Solar system,NT,Satellites
Solar system,NT,Sun
Solder joints,USE,Soldering
Soldering,UF,Solder joints
Soldering,BT,Assembly
Soldering,BT,Fabrication
Soldering,BT,Joining processes
Soldering,RT,Bonding processes
Soldering,RT,Manufacturing
Soldering,RT,Materials processing
Soldering,RT,Soldering equipment
Soldering,NT,Brazing
Soldering,NT,Flip chip solder joints
Soldering,NT,Reflow soldering
Soldering equipment,UF,Soldering irons
Soldering equipment,BT,Production equipment
Soldering equipment,RT,Joining materials
Soldering equipment,RT,Joining processes
Soldering equipment,RT,Soldering
Soldering irons,USE,Soldering equipment
Solderless breadboard,USE,Breadboard
Solenoids,BT,Magnetic devices
Solenoids,RT,Switches
Solenoids,RT,Transducers
Solid lasers,UF,Color center lasers
Solid lasers,UF,Solid state lasers
Solid lasers,UF,Solid-state lasers
Solid lasers,BT,Lasers
Solid lasers,RT,Thermal lensing
Solid lasers,RT,Thermooptical devices
Solid lasers,NT,Microchip lasers
Solid lasers,NT,Quantum well lasers
Solid lasers,NT,Semiconductor lasers
Solid lasers,NT,Surface emitting lasers
Solid modeling,BT,Modeling
Solid modeling,RT,Solid-state physics
Solid modeling,RT,Virtual reality
Solid oxide electrolyzer cells,USE,Fuel cells
Solid scintillation detectors,BT,Scintillation counters
Solid scintillation detectors,RT,Energy resolution
Solid scintillation detectors,RT,Medical diagnostic imaging
Solid scintillation detectors,RT,Spectroscopy
Solid state batteries,UF,Solid-state batteries
Solid state batteries,BT,Batteries
Solid state circuit design,UF,Solid-state circuit design
Solid state circuit design,BT,Solid state circuits
Solid state circuit design,RT,Circuit synthesis
Solid state circuits,UF,Solid-state circuits
Solid state circuits,RT,Circuits and systems
Solid state circuits,RT,Solid state drives
Solid state circuits,NT,Circuit subsystems
Solid state circuits,NT,Circuit theory
Solid state circuits,NT,FET circuits
Solid state circuits,NT,Gate leakage
Solid state circuits,NT,Solid state circuit design
Solid state circuits,NT,Transistors
Solid state drives,UF,Solid-state drives
Solid state drives,BT,Digital storage
Solid state drives,RT,DRAM chips
Solid state drives,RT,Flash memories
Solid state drives,RT,Integrated memory circuits
Solid state drives,RT,Solid state circuits
Solid state lasers,USE,Solid lasers
Solid state lighting,UF,Solid-state lighting
Solid state lighting,BT,Lighting
Solid waste,USE,Waste materials
Solid-state batteries,USE,Solid state batteries
Solid-state circuit design,USE,Solid state circuit design
Solid-state circuits,USE,Solid state circuits
Solid-state drives,USE,Solid state drives
Solid-state lasers,USE,Solid lasers
Solid-state lighting,USE,Solid state lighting
Solid-state physics,BT,Physics
Solid-state physics,RT,Materials science and technology
Solid-state physics,RT,Quantum mechanics
Solid-state physics,RT,Solid modeling
Solids,BT,Materials
Solids,RT,Crystals
Solids,RT,Materials science and technology
Solids,NT,Young's modulus
Solitons,BT,Waves
Solitons,NT,Optical solitons
Solitons,NT,Skyrmions
Solution design,BT,Systems engineering and theory
Solvents,BT,Chemical processes
Solvents,RT,Methanol
SOM,USE,Self-organizing feature maps
Soma,UF,Somata
Soma,BT,Neurons
Soma,RT,Brain
Somata,USE,Soma
Sonar,BT,Aerospace and electronic systems
Sonar,RT,Acoustic arrays
Sonar,RT,Chirp modulation
Sonar,RT,Ultrasonic transducers
Sonar,NT,Sonar applications
Sonar,NT,Sonar equipment
Sonar,NT,Synthetic aperture sonar
Sonar applications,BT,Sonar
Sonar applications,RT,Sonar navigation
Sonar applications,NT,Sonar detection
Sonar applications,NT,Sonar measurements
Sonar detection,BT,Acoustic signal detection
Sonar detection,BT,Sonar applications
Sonar detection,RT,Reflectivity
Sonar equipment,UF,Hydrophones
Sonar equipment,BT,Sonar
Sonar measurements,BT,Sonar applications
Sonar measurements,RT,Remote sensing
Sonar measurements,RT,Sea measurements
Sonar navigation,BT,Navigation
Sonar navigation,RT,Sonar applications
SONET,UF,Synchronous optical network
SONET,BT,Communication standards
SONET,BT,Digital communication
SONET,BT,ETSI Standards
SONET,BT,Optical fiber communication
SONET,RT,Asynchronous transfer mode
SONET,RT,Synchronous digital hierarchy
SONET,RT,Transport protocols
Sonification,BT,Audio systems
Sonification,BT,Information processing
Sonogram,BT,Ultrasonography
Sonogram,RT,Spectrogram
SONOS devices,UF,Silicon-oxide-nitride-oxide-silicon
SONOS devices,BT,Semiconductor devices
Sorting,BT,Data handling
Sorting,RT,Merging
SOS (silicon on sapphire),USE,Silicon-on-insulator
SOSE,USE,Service-oriented systems engineering
Sound systems,USE,Audio systems
Source coding,BT,Data compression
Source coding,BT,Encoding
Source coding,BT,Information theory
Source coding,RT,Rate distortion theory
Source coding,RT,Release engineering
Source location,USE,Position measurement
Source separation,UF,Signal separation
Source separation,BT,Signal processing
Source separation,RT,Adaptive signal detection
Source separation,RT,Array signal processing
Source separation,RT,Signal detection
Source separation,NT,Blind source separation
Source signal equalizers,USE,Blind equalizers
South America,BT,Continents
South Pole,BT,Antarctica
Space based radar,USE,Spaceborne radar
Space born radar,USE,Spaceborne radar
Space charge,BT,Charge carrier processes
Space charge,BT,Electrostatic processes
Space charge,RT,Pulsed electroacoustic methods
Space charge,RT,Vacuum technology
Space communications,BT,Telecommunications
Space communications,NT,Deep-space communications
Space cooling,BT,Cooling
Space cooling,RT,Buildings
Space cooling,RT,Coolants
Space cooling,RT,Refrigerants
Space debris,UF,Orbital debris
Space debris,UF,Space junk
Space debris,UF,Space waste
Space debris,BT,Space technology
Space diversity,USE,Spatial diversity
Space division multiplexing,UF,Space-division multiplexing
Space division multiplexing,UF,Spatial division multiplexing
Space division multiplexing,UF,Spatial multiplexing
Space division multiplexing,BT,Multiplexing
Space exploration,UF,Space travel
Space exploration,BT,Space technology
Space exploration,RT,NASA
Space exploration,NT,Interplanetary exploration
Space exploration,NT,Space missions
Space heating,BT,Heating systems
Space heating,RT,Building services
Space heating,RT,Gas appliances
Space heating,RT,Solar heating
Space heating,RT,Temperature control
Space heating,RT,Vents
Space junk,USE,Space debris
Space measurements,USE,Extraterrestrial measurements
Space missions,BT,Space exploration
Space missions,RT,Interplanetary exploration
Space missions,RT,NASA
Space phenomena,USE,Extraterrestrial phenomena
Space power stations,UF,Power stations (space)
Space power stations,BT,Space stations
Space power stations,RT,Power generation
Space radiation,BT,Radiation effects
Space radiation,RT,Ionization
Space radiation,RT,Solar radiation
Space shuttles,BT,Space vehicles
Space shuttles,RT,Aerospace safety
Space stations,BT,Artificial satellites
Space stations,NT,International Space Station
Space stations,NT,Space power stations
Space technology,BT,Aerospace engineering
Space technology,RT,Artificial satellites
Space technology,RT,Extraterrestrial phenomena
Space technology,RT,Field programmable analog arrays
Space technology,RT,NASA
Space technology,RT,Space vehicles
Space technology,NT,Payloads
Space technology,NT,Space debris
Space technology,NT,Space exploration
Space travel,USE,Space exploration
Space vector pulse width modulation,UF,SVPWM
Space vector pulse width modulation,BT,Pulse width modulation
Space vector pulse width modulation,RT,AC motors
Space vector pulse width modulation,RT,Converters
Space vector pulse width modulation,RT,DC motors
Space vehicle electronics,USE,Aerospace electronics
Space vehicle instrumentation,USE,Aerospace electronics
Space vehicle navigation,USE,Space vehicles
Space vehicles,UF,Space vehicle navigation
Space vehicles,BT,Vehicles
Space vehicles,RT,Aerospace accidents
Space vehicles,RT,Aerospace control
Space vehicles,RT,Aerospace electronics
Space vehicles,RT,Aerospace materials
Space vehicles,RT,Aerospace safety
Space vehicles,RT,Artificial satellites
Space vehicles,RT,Ground support
Space vehicles,RT,Hypersonic vehicles
Space vehicles,RT,Proton effects
Space vehicles,RT,Space technology
Space vehicles,NT,Space shuttles
Space waste,USE,Space debris
Space-air-ground integrated networks,UF,SAGIN
Space-air-ground integrated networks,BT,6G mobile communication
Space-air-ground integrated networks,RT,Satellite communication
Space-division multiplexing,USE,Space division multiplexing
Space-time codes,BT,Codes
Space-time codes,RT,Channel coding
Space-time codes,RT,Decoding
Spaceborn radar,USE,Spaceborne radar
Spaceborne radar,UF,Satellite born radar
Spaceborne radar,UF,Satellite borne radar
Spaceborne radar,UF,Space based radar
Spaceborne radar,UF,Space born radar
Spaceborne radar,UF,Spaceborn radar
Spaceborne radar,BT,Radar
Spaceborne radar,RT,Radar remote sensing
Spaceborne radar,RT,Synthetic aperture radar
Spacecraft materials,USE,Aerospace materials
Spacial indices,USE,Spatial indexes
SPAD,USE,Single-photon avalanche diodes
Spam,USE,Unsolicited e-mail
Spamming,USE,Unsolicited e-mail
Spark gaps,BT,Electromagnetic analysis
Spark gaps,RT,Air gaps
Spark gaps,RT,Electrodes
Spark gaps,RT,Insulation
Spark gaps,RT,Sparks
Spark gaps,RT,Switches
Spark Plasma sintering,UF,Field assisted sintering
Spark Plasma sintering,UF,Plasma pressure compaction
Spark Plasma sintering,UF,Pulsed electric current sintering
Spark Plasma sintering,BT,Plasma materials processing
Spark Plasma sintering,BT,Sintering
Spark Plasma sintering,RT,Powders
Sparks,BT,Electric breakdown
Sparks,RT,Spark gaps
Sparse matrices,UF,Sparse matrix
Sparse matrices,BT,Numerical analysis
Sparse matrix,USE,Sparse matrices
Spatial audio,UF,Surround sound
Spatial audio,BT,Audio systems
Spatial augmented reality,BT,Augmented reality
Spatial coherence,BT,Image processing
Spatial databases,BT,Databases
Spatial diversity,UF,Antenna diversity
Spatial diversity,UF,Space diversity
Spatial diversity,BT,Communication systems
Spatial diversity,BT,Wireless communication
Spatial diversity,RT,Antennas
Spatial diversity,RT,Quality of service
Spatial diversity,RT,Receiving antennas
Spatial division multiplexing,USE,Space division multiplexing
Spatial filters,BT,Filters
Spatial indexes,UF,Spacial indices
Spatial indexes,BT,Indexes
Spatial multiplexing,USE,Space division multiplexing
Spatial resolution,BT,Image resolution
Spatial resolution,RT,Image quality
Spatial temporal resolution,UF,Spatial-temporal resolution
Spatial temporal resolution,UF,Spatio temporal resolution
Spatial temporal resolution,BT,Spatiotemporal phenomena
Spatial-temporal resolution,USE,Spatial temporal resolution
Spatio temporal resolution,USE,Spatial temporal resolution
Spatio-temporal phenomena,USE,Spatiotemporal phenomena
Spatiotemporal phenomena,UF,Spatio-temporal phenomena
Spatiotemporal phenomena,BT,Chaos
Spatiotemporal phenomena,RT,Nonlinear dynamical systems
Spatiotemporal phenomena,RT,Pattern formation
Spatiotemporal phenomena,RT,Pattern matching
Spatiotemporal phenomena,RT,Pattern recognition
Spatiotemporal phenomena,NT,Spatial temporal resolution
Speaker recognition,BT,Identification of persons
Speaker recognition,RT,Biometrics (access control)
Speaker recognition,RT,Speech
Speaker recognition,RT,Speech recognition
Speaker recognition,RT,Viterbi algorithm
Special issues,USE,Special issues and sections
Special issues and sections,UF,Special issues
Special issues and sections,UF,Special sections
Special issues and sections,BT,IEEE indexing
Special sections,USE,Special issues and sections
Specific absorption rate,BT,Electromagnetic interference
Specification languages,BT,Computer languages
Specification languages,NT,Domain specific languages
Specification languages,NT,Unified modeling language
Speckle,BT,Optical noise
Speckle,RT,Optical interferometry
Speckle,RT,Optical scattering
SPECT,USE,Single photon emission computed tomography
Spectral analysis,UF,Power spectra
Spectral analysis,UF,Spectral domain
Spectral analysis,UF,Spectral-domain
Spectral analysis,UF,Spectrum analysis
Spectral analysis,UF,Spectrum estimation
Spectral analysis,BT,Signal analysis
Spectral analysis,RT,Direction-of-arrival estimation
Spectral analysis,RT,Estimation
Spectral analysis,RT,Frequency estimation
Spectral analysis,RT,Harmonic analysis
Spectral analysis,RT,Parameter estimation
Spectral analysis,RT,Prediction methods
Spectral analysis,RT,Signal resolution
Spectral analysis,RT,Spectroscopy
Spectral analysis,RT,Speech analysis
Spectral analysis,RT,Time series analysis
Spectral analysis,RT,Transforms
Spectral analysis,NT,Infrared spectra
Spectral analysis,NT,Judd-Ofelt theory
Spectral analysis,NT,Spectroradiometers
Spectral domain,USE,Spectral analysis
Spectral efficiency,UF,Bandwidth efficiency
Spectral efficiency,BT,Channel allocation
Spectral efficiency,BT,Measurement
Spectral efficiency,RT,Bandwidth
Spectral efficiency,RT,Information processing
Spectral shape,BT,Acoustics
Spectral waterfall,USE,Spectrogram
Spectral-domain,USE,Spectral analysis
Spectrogram,UF,Spectral waterfall
Spectrogram,UF,Voice print
Spectrogram,UF,Voicegram
Spectrogram,UF,Voiceprint
Spectrogram,BT,Signal processing
Spectrogram,RT,Sonogram
Spectrometry,USE,Spectroscopy
Spectroradiometers,BT,Radiometers
Spectroradiometers,BT,Spectral analysis
Spectroradiometers,NT,MODIS
Spectroscopy,UF,Spectrometry
Spectroscopy,BT,Measurement
Spectroscopy,RT,Atomic measurements
Spectroscopy,RT,Bandwidth
Spectroscopy,RT,Fourier series
Spectroscopy,RT,Infrared spectra
Spectroscopy,RT,Nuclear measurements
Spectroscopy,RT,Radiation detectors
Spectroscopy,RT,Solid scintillation detectors
Spectroscopy,RT,Spectral analysis
Spectroscopy,RT,Thermoreflectance imaging
Spectroscopy,NT,Deep level transient spectroscopy
Spectroscopy,NT,Electrochemical impedance spectroscopy
Spectroscopy,NT,Electron paramagnetic resonance
Spectroscopy,NT,Fourier transform infrared spectroscopy
Spectroscopy,NT,Functional near-infrared spectroscopy
Spectroscopy,NT,Kirchhoff's Law
Spectroscopy,NT,MERIS
Spectroscopy,NT,Mass spectroscopy
Spectroscopy,NT,Neutron spin echo
Spectroscopy,NT,Photoacoustic effects
Spectroscopy,NT,Resonance light scattering
Spectrum analysis,USE,Spectral analysis
Spectrum estimation,USE,Spectral analysis
Spectrum management,USE,Radio spectrum management
Speech,BT,Oral communication
Speech,RT,Speaker recognition
Speech,NT,Hate speech
Speech activity detection,USE,Voice activity detection
Speech analysis,BT,Speech recognition
Speech analysis,RT,Cepstral analysis
Speech analysis,RT,Frequency estimation
Speech analysis,RT,Signal analysis
Speech analysis,RT,Spectral analysis
Speech analysis,RT,Speech coding
Speech analysis,RT,Speech synthesis
Speech codecs,BT,Codecs
Speech codecs,BT,Communication equipment
Speech codecs,RT,Decoding
Speech codecs,RT,Speech coding
Speech codecs,RT,Vocoders
Speech coding,BT,Encoding
Speech coding,BT,Information theory
Speech coding,RT,Audio coding
Speech coding,RT,Rate distortion theory
Speech coding,RT,Speech analysis
Speech coding,RT,Speech codecs
Speech coding,RT,Vector quantization
Speech coding,RT,Vocoders
Speech coding,RT,Voice activity detection
Speech communication,USE,Oral communication
Speech detection,USE,Voice activity detection
Speech enhancement,BT,Speech processing
Speech enhancement,RT,Hearing aids
Speech enhancement,RT,Speech recognition
Speech processing,BT,Acoustic signal processing
Speech processing,RT,Delay estimation
Speech processing,RT,Phonetics
Speech processing,RT,Prediction methods
Speech processing,NT,Human voice
Speech processing,NT,Speech enhancement
Speech processing,NT,Speech synthesis
Speech processing,NT,Voice activity detection
Speech recognition,UF,Voice recognition
Speech recognition,BT,Identification of persons
Speech recognition,BT,Pattern recognition
Speech recognition,RT,Cepstral analysis
Speech recognition,RT,Emotion recognition
Speech recognition,RT,Feature extraction
Speech recognition,RT,Speaker recognition
Speech recognition,RT,Speech enhancement
Speech recognition,RT,Voice activity detection
Speech recognition,NT,Automatic speech recognition
Speech recognition,NT,Speech analysis
Speech synthesis,UF,Synthetic speech
Speech synthesis,UF,Voice response systems
Speech synthesis,BT,Speech processing
Speech synthesis,RT,Biomedical equipment
Speech synthesis,RT,Signal synthesis
Speech synthesis,RT,Speech analysis
Speech synthesis,RT,Voice activity detection
Speech synthesis,NT,Chatbots
Speechmaking,USE,Public speaking
Speed control,USE,Velocity control
Speed measurement,USE,Velocity measurement
SPICE,UF,Simulation Program with Integrated Circuit Emphasis
SPICE,UF,pSPICE
SPICE,BT,Software packages
SPICE,RT,Circuit analysis
SPICE,RT,Design automation
SPICE,RT,Integrated circuits
Spin electronics,USE,Spintronics
Spin injection,USE,Spin polarized transport
Spin polarised transport,USE,Spin polarized transport
Spin polarized transport,UF,Spin injection
Spin polarized transport,UF,Spin polarised transport
Spin polarized transport,BT,Magnetoelectronics
Spin polarized transport,RT,Magnetic tunneling
Spin polarized transport,RT,Magnetoresistance
Spin systems,BT,Magnetics
Spin valves,BT,Magnetic sensors
Spin valves,RT,Hysteresis
Spin-dependent tunneling,USE,Magnetic tunneling
Spin-dependent tunnelling,USE,Magnetic tunneling
Spinal cord,BT,Nervous system
Spinal cord,NT,Cerebrospinal fluid
Spinal cord,NT,Spinal cord injury
Spinal cord injuries,USE,Spinal cord injury
Spinal cord injury,UF,Spinal cord injuries
Spinal cord injury,BT,Spinal cord
Spinal cord injury,RT,Neurological diseases
Spinal cord stimulation,USE,Electrical stimulation
Spindle bearings,USE,Machine tool spindles
Spine,BT,Nervous system
Spine,BT,Skeleton
Spinelectronics,USE,Spintronics
Spinning,BT,Textile technology
Spinning,RT,Spinning machines
Spinning,RT,Textile fibers
Spinning machines,BT,Textile machinery
Spinning machines,RT,Paper making
Spinning machines,RT,Paper making machines
Spinning machines,RT,Paper mills
Spinning machines,RT,Pulp and paper industry
Spinning machines,RT,Spinning
Spinning machines,RT,Textile industry
Spinning machines,RT,Textiles
Spintronics,UF,Fluxtronics
Spintronics,UF,Spin electronics
Spintronics,UF,Spinelectronics
Spintronics,BT,Magnetoelectric effects
Spirals,BT,Mathematics
Splicing,UF,Cable splicing
Splicing,UF,Fusion splicing
Splicing,BT,Joining processes
Splicing,RT,Optical fiber cables
Splicing,RT,Transmission lines
Spline functions,USE,Splines (mathematics)
Splines (mathematics),UF,B-Spline
Splines (mathematics),UF,Spline functions
Splines (mathematics),BT,Numerical analysis
Splines (mathematics),RT,Curve fitting
Split gate flash memory cells,UF,Split-gate flash memory cells
Split gate flash memory cells,BT,Flash memory cells
Split ring resonators,BT,Resonators
Split ring resonators,RT,Electromagnetic metamaterials
Split ring resonators,RT,Metamaterials
Split ring resonators,RT,Optical resonators
Split ring resonators,RT,Terahertz metamaterials
Split-gate flash memory cells,USE,Split gate flash memory cells
SPO,USE,Triples (Data structure)
Spontaneous emission,UF,Superradiance
Spontaneous emission,BT,Photonics
Spontaneous emission,RT,Microcavities
Spontaneous emission,RT,Photonic crystals
Spontaneous emission,NT,Radiative recombination
Sports,UF,Baseball
Sports,UF,Football
Sports,UF,Hockey
Sports,UF,Soccer
Sports,UF,Swimming
Sports,UF,Tennis
Sports,BT,Entertainment industry
Sports,RT,Games
Sports,RT,Sports equipment
Sports equipment,BT,Manufactured products
Sports equipment,RT,Bicycles
Sports equipment,RT,Sports
Spot welding,BT,Welding
Spraying,BT,Surface finishing
Spraying,RT,Aerosols
Spraying,RT,Coatings
Spraying,RT,Liquids
Spraying,RT,Particle production
Spraying,RT,Surface charging
Spraying,NT,Thermal spraying
Spread spectrum communication,UF,Frequency hop communication
Spread spectrum communication,UF,Frequency-hop communication
Spread spectrum communication,UF,Multi-hop
Spread spectrum communication,UF,Multihop
Spread spectrum communication,UF,Pseudonoise coded communication
Spread spectrum communication,BT,Digital communication
Spread spectrum communication,RT,3G mobile communication
Spread spectrum communication,RT,4G mobile communication
Spread spectrum communication,RT,Bluetooth
Spread spectrum communication,RT,Channel estimation
Spread spectrum communication,RT,Chirp modulation
Spread spectrum communication,RT,Code division multiplexing
Spread spectrum communication,RT,Electronic countermeasures
Spread spectrum communication,RT,Electronic warfare
Spread spectrum communication,RT,Multicarrier code division multiple access
Spread spectrum communication,RT,Multiuser detection
Spread spectrum communication,RT,Radio communication countermeasures
Spread spectrum communication,RT,Time division synchronous code division multiple access
Spread spectrum communication,RT,Ultra wideband communication
Spread spectrum radar,UF,Frequency hop radar
Spread spectrum radar,UF,Pseudonoise coded radar
Spread spectrum radar,BT,Radar
Spread spectrum radar,RT,Chirp modulation
Spread spectrum radar,RT,Electronic countermeasures
Spread spectrum radar,RT,Electronic warfare
Spread spectrum radar,RT,Radar countermeasures
Spreadsheet programs,UF,Microsoft Excel
Spreadsheet programs,BT,Data processing
Springs,BT,Mechanical products
Springs,BT,Production
Springs,RT,Shock absorbers
Springs,RT,Suspensions (mechanical systems)
Springs,RT,Wires
Sprites (computer),BT,Computer graphics
Sprites (computer),RT,Three-dimensional displays
Sprites (computer),RT,Two dimensional displays
Spur gears,USE,Gears
Spurline,BT,Power filters
Spurline,RT,Planar transmission lines
Spurline,NT,Spurline components
Spurline components,BT,Spurline
Sputter deposition,USE,Sputtering
Sputter etching,BT,Sputtering
Sputter etching,RT,Cardiography
Sputtering,UF,Sputter deposition
Sputtering,UF,Thin film deposition
Sputtering,BT,Materials preparation
Sputtering,RT,Coatings
Sputtering,RT,Films
Sputtering,RT,Magnetrons
Sputtering,RT,Physical vapor deposition
Sputtering,NT,Sputter etching
Spyware,BT,Privacy-invasive software
SQL,USE,Structured Query Language
SQL injection,BT,Computer crime
SQL injection,BT,Information security
SQUID magnetometers,BT,Magnetometers
SQUID magnetometers,RT,Magnetic fields
SQUIDs,UF,Superconducting quantum interference devices
SQUIDs,BT,Superconducting devices
SQUIDs,RT,Readout electronics
Sr,USE,Strontium
SRAM,USE,SRAM chips
SRAM cells,BT,Random access memory
SRAM chips,UF,SRAM
SRAM chips,BT,Random access memory
SRAM chips,RT,CMOS memory circuits
Stability,BT,Reliability
Stability,RT,Asymptotic stability
Stability,RT,Control systems
Stability,RT,Damping
Stability,RT,Lyapunov methods
Stability,RT,Predator prey systems
Stability,RT,Robustness
Stability,RT,Time invariant systems
Stability,NT,Circuit stability
Stability,NT,Robust stability
Stability,NT,Stability analysis
Stability,NT,Thermal stability
Stability analysis,BT,Stability
Stability analysis,RT,Algorithms
Stability analysis,RT,Differential equations
Stability analysis,RT,Laser stability
Stability analysis,RT,Plasma properties
Stability analysis,RT,Signal processing
Stability analysis,RT,System analysis and design
Stability analysis,NT,Stability criteria
Stability criteria,BT,Stability analysis
Stacking,BT,Material storage
Stacking,RT,Containers
Stacking,RT,Materials handling
Stacking,RT,Warehousing
Stairs,BT,Construction
Stairs,RT,Elevators
Stairs,RT,Escalators
Stairs,RT,Legged locomotion
Stairs,RT,Mobile robots
Stakeholder pensions,USE,Pensions
Stakeholders,BT,Customer relationship management
Stakeholders,BT,Organizational aspects
Stakeholders,RT,Decision making
Stakeholders,RT,Requirements engineering
Stakeholders,RT,Strategic planning
Standard Generalized Markup Language,USE,SGML
Standardization,BT,Engineering - general
Standardization,RT,IEC
Standardization,RT,ISO
Standardization,RT,ISO Standards
Standardization,NT,Formal specifications
Standardization,NT,Guidelines
Standardization,NT,Standards
Standards,BT,Standardization
Standards,RT,Conformance testing
Standards,RT,IEC
Standards,RT,ISO
Standards,RT,International collaboration
Standards,RT,Open systems
Standards,RT,Qualifications
Standards,NT,Standards categories
Standards,NT,Standards organizations
Standards,NT,Standards publications
Standards categories,BT,Standards
Standards categories,NT,Communication standards
Standards categories,NT,International Atomic Time
Standards categories,NT,Measurement standards
Standards categories,NT,Military standards
Standards categories,NT,Power and energy standards
Standards categories,NT,Software standards
Standards organizations,BT,Standards
Standards organizations,NT,3GPP
Standards organizations,NT,ANSI
Standards organizations,NT,ASA
